Lab,Method,Subject,Subject_Unique,Language,Age,Session,total_trial_n,language_recoded,Native,ADS,IDS,Diff,Prop,binary_pref
InfantCog-UBC,central fixation,VF48,InfantCog-UBC:VF48,English,170,1,11,American English,TRUE,1.6703274824228849,1.8536925024135962,0.1833650199907113,0.5260164557493592,IDS_preference
InfantCog-UBC,central fixation,VF48,InfantCog-UBC:VF48,English,199,2,9,American English,TRUE,1.742854737352193,1.46359446313517,-0.27926027421702293,0.4564533450000429,ADS_preference
InfantCog-UBC,central fixation,VM20,InfantCog-UBC:VM20,English,108,1,12,American English,TRUE,1.5918544473596232,2.078181319515309,0.48632687215568593,0.5662564213331629,IDS_preference
InfantCog-UBC,central fixation,VM20,InfantCog-UBC:VM20,English,113,2,16,American English,TRUE,2.251763500751688,2.020408042545804,-0.2313554582058841,0.4729229671770961,ADS_preference
infantll-madison,HPP,mb2_002,infantll-madison:mb2_002,English,217,1,9,American English,TRUE,1.5361631466712387,1.8004343653305277,0.26427121865928904,0.539601902493289,IDS_preference
infantll-madison,HPP,mb2_002,infantll-madison:mb2_002,English,224,2,13,American English,TRUE,1.5323739010856794,1.7431497436168244,0.210775842531145,0.5321743735344473,IDS_preference
infantll-madison,HPP,mb2_003,infantll-madison:mb2_003,English,253,1,14,American English,TRUE,1.2544951328848999,1.8541513504863778,0.5996562176014779,0.5964497283317917,IDS_preference
infantll-madison,HPP,mb2_003,infantll-madison:mb2_003,English,260,2,11,American English,TRUE,1.5710163391983232,2.036578737092377,0.46556239789405374,0.5645253122992868,IDS_preference
infantll-madison,HPP,mb2_005,infantll-madison:mb2_005,English,225,1,13,American English,TRUE,1.559509290266259,1.5940565866294907,0.03454729636323162,0.5054774971749185,IDS_preference
infantll-madison,HPP,mb2_005,infantll-madison:mb2_005,English,232,2,11,American English,TRUE,1.442472514478042,1.5569799320912752,0.11450741761323324,0.519088053511934,IDS_preference
infantll-madison,HPP,mb2_007,infantll-madison:mb2_007,English,225,1,16,American English,TRUE,1.6320142848251282,1.6005516012954981,-0.03146268352963011,0.4951334814760128,ADS_preference
infantll-madison,HPP,mb2_007,infantll-madison:mb2_007,English,232,2,13,American English,TRUE,1.2395843122006551,1.8273304966474915,0.5877461844468364,0.595820428847774,IDS_preference
infantll-madison,HPP,mb2_008,infantll-madison:mb2_008,English,188,1,11,American English,TRUE,1.5412291093473358,2.0432462808711302,0.5020171715237944,0.5700265892316808,IDS_preference
infantll-madison,HPP,mb2_008,infantll-madison:mb2_008,English,191,2,7,American English,TRUE,2.2875004717289595,2.455950099411552,0.16844962768259242,0.5177560222412194,IDS_preference
infantll-madison,HPP,mb2_009,infantll-madison:mb2_009,English,218,1,15,American English,TRUE,2.314402809192737,2.781674261002415,0.4672714518096779,0.5458461916267471,IDS_preference
infantll-madison,HPP,mb2_009,infantll-madison:mb2_009,English,225,2,16,American English,TRUE,1.662302167773782,1.7637936756626718,0.10149150788888983,0.5148115395083477,IDS_preference
infantll-madison,HPP,mb2_010,infantll-madison:mb2_010,English,219,1,8,American English,TRUE,2.1630389039713354,1.9685955274046425,-0.19444337656669286,0.4764689519612295,ADS_preference
infantll-madison,HPP,mb2_010,infantll-madison:mb2_010,English,226,2,9,American English,TRUE,1.8126503243895933,1.9025033630408263,0.08985303865123306,0.5120927754557282,IDS_preference
infantll-madison,HPP,mb2_011,infantll-madison:mb2_011,English,222,1,12,American English,TRUE,2.2197303671551047,1.677298097571369,-0.5424322695837358,0.4304043741926057,ADS_preference
infantll-madison,HPP,mb2_011,infantll-madison:mb2_011,English,229,2,12,American English,TRUE,0.9415143127009512,1.912462164926585,0.9709478522256337,0.6701043894084171,IDS_preference
infantll-madison,HPP,mb2_012,infantll-madison:mb2_012,English,256,1,12,American English,TRUE,1.4961479745510615,1.5514208381791172,0.055272863628055724,0.5090683536655797,IDS_preference
infantll-madison,HPP,mb2_012,infantll-madison:mb2_012,English,263,2,15,American English,TRUE,1.4416761191427434,1.7965768823532862,0.35490076321054276,0.5547981833177618,IDS_preference
infantll-madison,HPP,mb2_013,infantll-madison:mb2_013,English,209,1,12,American English,TRUE,1.515371656498836,1.3048894377086009,-0.2104822187902351,0.46268391263090025,ADS_preference
