lab,subid,test,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes
babylab-potsdam,b7135,1,IDS,IDS6,14,3.492,3.492,noerror,NA,NA
babylab-potsdam,b7135,1,ADS,ADS8,15,5.038,7.535,noerror,NA,offline correction - experimenter error - subtraction of 738 ms based on logsheet and video- child was looking away
babylab-potsdam,b7135,1,IDS,IDS8,16,18,18,noerror,NA,NA
babylab-potsdam,b7135,2,training,train2,-2,17.456,18,noerror,NA,NA
babylab-potsdam,b7135,2,training,train1,-1,2.984,2.984,noerror,NA,NA
babylab-potsdam,b7135,2,ADS,ADS5,1,11.633,13.585,noerror,NA,NA
babylab-potsdam,b7135,2,IDS,IDS5,2,7.214,11.595,noerror,NA,NA
babylab-potsdam,b7135,2,IDS,IDS7,3,8.688,11.724,noerror,NA,offline correction - experimenter error - addition of 501 ms based on logsheet and video- child was actually looking
babylab-potsdam,b7135,2,ADS,ADS7,4,10.152,11.699,noerror,NA,NA
babylab-potsdam,b7135,2,IDS,IDS1,5,2.603,2.603,noerror,NA,NA
babylab-potsdam,b7135,2,ADS,ADS1,6,3.357,3.357,noerror,NA,NA
babylab-potsdam,b7135,2,IDS,IDS3,7,2.396,2.396,noerror,NA,NA
babylab-potsdam,b7135,2,ADS,ADS3,8,3.32,3.32,noerror,NA,NA
babylab-potsdam,b7135,2,IDS,IDS2,9,4.399,4.399,noerror,NA,NA
babylab-potsdam,b7135,2,ADS,ADS2,10,3.854,3.854,noerror,NA,NA
babylab-potsdam,b7135,2,ADS,ADS4,11,2.166,2.166,noerror,NA,NA
babylab-potsdam,b7135,2,IDS,IDS4,12,2.42,2.42,noerror,NA,NA
babylab-potsdam,b7135,2,ADS,ADS6,13,6.131,11.301,noerror,NA,NA
babylab-potsdam,b7135,2,IDS,IDS6,14,2.86,2.86,noerror,NA,NA
babylab-potsdam,b7135,2,ADS,ADS8,15,1.693,1.693,noerror,NA,NA
babylab-potsdam,b7135,2,IDS,IDS8,16,5.674,9.034,noerror,NA,NA
babylab-potsdam,b7139,1,training,train2,-2,17.102,18,noerror,NA,NA
babylab-potsdam,b7139,1,training,train1,-1,16.925,17.995,noerror,NA,NA
babylab-potsdam,b7139,1,ADS,ADS1,1,17.09,18,noerror,NA,NA
babylab-potsdam,b7139,1,IDS,IDS1,2,16.093,17.415,noerror,NA,NA
babylab-potsdam,b7139,1,ADS,ADS2,3,15.219,18,noerror,NA,NA
babylab-potsdam,b7139,1,IDS,IDS2,4,9.904,12.043,noerror,NA,NA
babylab-potsdam,b7139,1,IDS,IDS3,5,16.851,18,noerror,NA,NA
babylab-potsdam,b7139,1,ADS,ADS3,6,6.659,8.422,noerror,NA,NA
babylab-potsdam,b7139,1,ADS,ADS4,7,13.285,18,noerror,NA,NA
babylab-potsdam,b7139,1,IDS,IDS4,8,6.405,6.405,noerror,NA,NA
babylab-potsdam,b7139,1,IDS,IDS5,9,13.075,13.646,noerror,NA,NA
babylab-potsdam,b7139,1,ADS,ADS5,10,7.281,9.501,noerror,NA,NA
babylab-potsdam,b7139,1,IDS,IDS6,11,4.047,4.848,noerror,NA,NA
babylab-potsdam,b7139,1,ADS,ADS6,12,11.434,16.3,noerror,NA,NA
babylab-potsdam,b7139,1,ADS,ADS7,13,16.386,17.974,noerror,NA,NA
babylab-potsdam,b7139,1,IDS,IDS7,14,7.577,9.694,noerror,NA,NA
babylab-potsdam,b7139,1,IDS,IDS8,15,5.968,7.244,noerror,NA,NA
babylab-potsdam,b7139,1,ADS,ADS8,16,8.843,10.93,noerror,NA,NA
babylab-potsdam,b7139,2,training,train2,-2,14.033,17.499,noerror,NA,NA
babylab-potsdam,b7139,2,training,train1,-1,9.771,11.281,noerror,NA,NA
babylab-potsdam,b7139,2,ADS,ADS1,1,10.978,12.551,noerror,NA,NA
babylab-potsdam,b7139,2,IDS,IDS1,2,16.292,16.292,noerror,NA,NA
babylab-potsdam,b7139,2,ADS,ADS2,3,4.435,6.321,noerror,NA,NA
babylab-potsdam,b7139,2,IDS,IDS2,4,12.789,18.001,noerror,NA,NA
babylab-potsdam,b7139,2,IDS,IDS3,5,8.814,11.934,noerror,NA,NA
babylab-potsdam,b7139,2,ADS,ADS3,6,5.993,9.032,noerror,NA,offline correction - experimenter error - subtraction of 596 ms based on logsheet and video- child was not looking
babylab-potsdam,b7139,2,ADS,ADS4,7,1.766,1.766,noerror,NA,NA
babylab-potsdam,b7139,2,IDS,IDS4,8,5.556,6.915,noerror,NA,NA
babylab-potsdam,b7139,2,IDS,IDS5,9,11.752,18,noerror,NA,NA
babylab-potsdam,b7139,2,ADS,ADS5,10,3.46,4.263,noerror,NA,NA
babylab-potsdam,b7139,2,IDS,IDS6,11,3.476,4.721,noerror,NA,NA
babylab-potsdam,b7139,2,ADS,ADS6,12,2.263,2.263,noerror,NA,NA
babylab-potsdam,b7139,2,ADS,ADS7,13,1.985,1.985,noerror,NA,NA
babylab-potsdam,b7139,2,IDS,IDS7,14,8.669,13.901,noerror,NA,NA
babylab-potsdam,b7139,2,IDS,IDS8,15,1.371,1.371,noerror,NA,NA
babylab-potsdam,b7139,2,ADS,ADS8,16,3.441,4.417,noerror,NA,NA
babylab-potsdam,b7140,1,training,train1,-2,17.192,18,noerror,NA,NA
babylab-potsdam,b7140,1,training,train2,-1,15.427,18,noerror,NA,NA
babylab-potsdam,b7140,1,IDS,IDS1,1,17.032,18.001,noerror,NA,NA
babylab-potsdam,b7140,1,ADS,ADS1,2,4.061,4.061,noerror,NA,NA
babylab-potsdam,b7140,1,IDS,IDS2,3,5.273,5.273,noerror,NA,NA
babylab-potsdam,b7140,1,ADS,ADS2,4,8.093,10.264,noerror,NA,NA
babylab-potsdam,b7140,1,ADS,ADS3,5,4.662,4.662,noerror,NA,NA
babylab-potsdam,b7140,1,IDS,IDS3,6,17.088,18,noerror,NA,NA
babylab-potsdam,b7140,1,IDS,IDS4,7,3.209,3.209,noerror,NA,NA
babylab-potsdam,b7140,1,ADS,ADS4,8,14.805,18,noerror,NA,NA
babylab-potsdam,b7140,1,ADS,ADS5,9,14.745,18,noerror,NA,NA
